Title	x	y
A -73.781612 40.979695
A -73.781355 40.979971
A -73.783878 40.97904
A -73.78408 40.978947
A -73.784337 40.978855
A -73.784563 40.978703
A -73.784801 40.978528
A -73.784697 40.978394
A -73.784251 40.978532
A -73.783933 40.978588
A -73.783726 40.978638
A -73.781465 40.979261
A -73.781734 40.9791
A -73.782101 40.978938
A -73.78237 40.978786
A -73.782699 40.978611
A -73.783078 40.978454
A -73.78295 40.978113
A -73.782614 40.978223
A -73.782345 40.978311
A -73.782101 40.97844
C -73.781778 40.978562
A -73.781527 40.978751
A -73.781291 40.978952
A -73.78351 40.978312
A -73.783812 40.978212
A -73.784129 40.978151
A -73.78446 40.978039
A -73.784446 40.977839
A -73.78432 40.977661
A -73.783967 40.977817
A -73.78362 40.9779
A -73.783414 40.978006
A -73.785338 40.978322
A -73.785183 40.978166
A -73.78508 40.977977
A -73.78491 40.97781
A -73.784785 40.977632
A -73.784697 40.977437
A -73.784579 40.977231
A -73.784475 40.977042
A -73.784328 40.97682
A -73.78424 40.976675
A -73.784114 40.976452
A -73.785655 40.978222
A -73.785559 40.978005
A -73.785478 40.977799
A -73.78536 40.977621
A -73.785271 40.977421
A -73.785139 40.977242
A -73.785021 40.977064
A -73.784918 40.976842
A -73.78477 40.976664
A -73.784704 40.976463
A -73.784549 40.976246
A -73.783407 40.977471
A -73.783702 40.977443
A -73.784085 40.977332
A -73.784041 40.977103
A -73.783842 40.976892
A -73.783716 40.976725
A -73.783186 40.976998
A -73.783259 40.977198
A -73.781078 40.978489
A -73.781476 40.978289
A -73.781726 40.978183
A -73.781984 40.978027
A -73.782242 40.977916
A -73.782552 40.977821
A -73.782832 40.977682
A -73.780908 40.978333
A -73.781144 40.978083
A -73.78135 40.977855
A -73.781726 40.977693
A -73.781992 40.977543
A -73.782301 40.977348
A -73.782625 40.977259
A -73.784648 40.975645
A -73.784923 40.975932
A -73.784959 40.97612
A -73.785048 40.976287
A -73.785128 40.976509
A -73.785279 40.97669
A -73.785394 40.976885
A -73.78551 40.977086
A -73.785626 40.977261
A -73.785732 40.977462
A -73.785848 40.977704
A -73.786043 40.977959
A -73.786408 40.977778
A -73.786844 40.97765
A -73.787128 40.977462
A -73.78679 40.977301
A -73.786577 40.977261
A -73.786212 40.9771
A -73.78607 40.976851
A -73.785946 40.976637
A -73.785875 40.976496
A -73.785777 40.976274
A -73.785572 40.976044
A -73.785478 40.975832
A -73.785283 40.975466
A -73.78565 40.975154
A -73.785877 40.975095
A -73.786134 40.974942
A -73.786626 40.974841
A -73.786743 40.975148
A -73.786861 40.97536
A -73.787009 40.975578
A -73.787087 40.975802
A -73.78722 40.975991
A -73.787321 40.976239
A -73.787423 40.976392
A -73.787501 40.976604
A -73.787391 40.976975
A -73.787548 40.977229
A -73.786837 40.976875
A -73.787071 40.976604
A -73.786985 40.976415
A -73.786861 40.976227
A -73.786665 40.976009
A -73.786595 40.975838
A -73.786454 40.975643
A -73.786314 40.975419
A -73.786486 40.976746
A -73.786408 40.976604
A -73.78622 40.976404
A -73.786158 40.976221
A -73.786048 40.976026
A -73.785923 40.975826
A -73.7859 40.975637
A -73.787985 40.977064
A -73.788282 40.97697
A -73.788696 40.976757
A -73.788297 40.976557
A -73.788133 40.976345
A -73.788008 40.976374
A -73.787946 40.976138
A -73.787876 40.975879
A -73.787759 40.97562
