category	latitude	longitude
HH	43.104213	-75.223548
SR	43.093191	-75.220394
K	43.117689	-75.210155
K	43.086477	-75.262258
CC	43.094479	-75.286621
ER	43.104577	-75.269551
K	43.107216	-75.220419
ST	43.101365	-75.228541
SR	43.089721	-75.20417
ST	43.108472	-75.251452
AS	43.114176	-75.213955
WT	43.105281	-75.220184
CC	43.100585	-75.240335
CC	43.097893	-75.239277
MF	43.098221	-75.21702
R	43.11796	-75.210063
ST	43.096466	-75.241818
CC	43.096726	-75.276126
SR	43.090271	-75.204322
K	43.103372	-75.227793
K	43.113626	-75.205111
K	43.100436	-75.233595
CC	43.082117	-75.26652
CC	43.091076	-75.278949
K	43.094621	-75.228436
K	43.085601	-75.279662
CC	43.08423	-75.265316
ST	43.08862	-75.258534
K	43.099048	-75.231471
SR	43.10414	-75.273459
K	43.103866	-75.243142
M	43.080581	-75.273962
SR	43.099116	-75.130696
R	43.086461	-75.259826
MF	43.093928	-75.200062
K	43.086455	-75.260933
M	43.081341	-75.272393
ST	43.083588	-75.277562
V	43.093183	-75.26075
CC	43.126634	-75.222607
K	43.088877	-75.222122
M	43.087799	-75.260325
ER	43.083422	-75.284149
WT	43.125646	-75.236513
CC	43.079755	-75.275656
SR	43.103555	-75.231882
ER	43.082066	-75.245197
K	43.098483	-75.237689
SR	43.0878	-75.258051
SR	43.113154	-75.215157
R	43.096433	-75.241868
V	43.097032	-75.237521
ST	43.10329	-75.235234
ST	43.083106	-75.224114
CC	43.094161	-75.241841
CC	43.094465	-75.286625
SR	43.07449	-75.266961
CC	43.086634	-75.257237
K	43.116891	-75.210714
K	43.124155	-75.225739
SR	43.087374	-75.23213
K	43.089235	-75.204572
CC	43.084611	-75.266067
ER	43.081917	-75.201933
CC	43.084366	-75.267292
G	43.088034	-75.247979
ST	43.103993	-75.247055
SR	43.099864	-75.23545
M	43.09533	-75.243201
V	43.10273	-75.22961
SR	43.095806	-75.223154
ST	43.128615	-75.22447
K	43.11423	-75.205548
SR	43.109644	-75.212708
K	43.087332	-75.258954
CC	43.112497	-75.214545
K	43.101753	-75.230079
K	43.099948	-75.230623
SR	43.098217	-75.236707
K	43.099394	-75.232806
M	43.103046	-75.245742
K	43.114259	-75.209032
SR	43.100464	-75.231706
K	43.088716	-75.186103
SR	43.110139	-75.252473
ST	43.128523	-75.227292
ST	43.123952	-75.225433
ST	43.091651	-75.222499
ST	43.11017	-75.255587
CC	43.084974	-75.26541
G	43.097582	-75.202451
U	43.080357	-75.206285
SR	43.082474	-75.204804
R	43.10349	-75.247247
SR	43.09372	-75.193448
R	43.09309	-75.28859
ST	43.092246	-75.211426
M	43.084259	-75.288699
R	43.101111	-75.226034
M	43.112402	-75.214559
SR	43.098942	-75.219268
ST	43.077363	-75.280245
R	43.093509	-75.22078
G	43.100509	-75.242531
K	43.088644	-75.223552
M	43.103154	-75.226125
SR	43.090224	-75.212177
SR	43.110177	-75.252494
M	43.102537	-75.221537
K	43.093467	-75.213809
G	43.116136	-75.207668
V	43.083922	-75.269902
ER	43.099984	-75.224813
SR	43.117459	-75.209438
ST	43.128559	-75.227305
K	43.104419	-75.230775
K	43.118179	-75.209035
K	43.099778	-75.233135
MF	43.086757	-75.249983
ST	43.114364	-75.206366
SR	43.116813	-75.210865
K	43.115754	-75.210003
NN	43.097209	-75.231159
ST	43.100793	-75.234633
SR	43.103441	-75.271794
M	43.089525	-75.221444
AS	43.110888	-75.219283
M	43.126013	-75.224563
SR	43.074411	-75.267479
SR	43.099701	-75.235316
ST	43.113076	-75.205817
ST	43.112982	-75.26395
ST	43.104584	-75.269583
M	43.08785	-75.260152
ER	43.09048	-75.260814
R	43.085902	-75.262087
K	43.085023	-75.235561
ST	43.098077	-75.217729
CC	43.093287	-75.241231
ST	43.095027	-75.237565
R	43.092436	-75.220623
MF	43.103231	-75.227897
K	43.106453	-75.246169
U	43.093078	-75.24767
K	43.10999	-75.219031
K	43.085103	-75.28204
SR	43.081029	-75.25438
SR	43.09873	-75.226693
P	43.102183	-75.231188
R	43.093711	-75.193287
P	43.088034	-75.256811
