category	latitude	longitude
K	42.69345	-73.773543
CC	42.74374	-73.749155
K	42.789119	-73.937063
ST	42.745529	-73.809392
ST	42.689282	-73.788546
ER	42.696461	-73.807665
R	42.716403	-73.832998
K	42.71698	-73.813825
SR	42.6909	-73.801817
K	42.735242	-73.762641
V	42.710631	-73.712194
WT	42.69944	-73.825175
R	42.775301	-73.70166
CC	42.75873	-73.776933
ST	42.696056	-73.82408
M	42.753255	-73.78132
R	42.802336	-73.900756
K	42.7399	-73.700789
ER	42.696782	-73.847157
ST	42.747937	-73.866599
U	42.733874	-73.71074
ST	42.71031	-73.816073
SR	42.770938	-73.697942
ER	42.688114	-73.793912
SR	42.686355	-73.797653
M	42.710294	-73.816425
K	42.690534	-73.783291
ST	42.756583	-73.700595
G	42.729182	-73.759901
CC	42.830726	-73.891061
ST	42.69691	-73.883706
CC	42.72503	-73.823001
K	42.689747	-73.849922
M	42.770979	-73.759021
ER	42.811689	-73.861485
R	42.744859	-73.753199
CC	42.772384	-73.821906
SR	42.717648	-73.806344
SR	42.764031	-73.756324
K	42.67801	-73.828885
CC	42.758313	-73.777377
ER	42.689377	-73.774685
M	42.708814	-73.775253
ST	42.728916	-73.846899
ST	42.75565	-73.756064
ST	42.719163	-73.705783
G	42.77389	-73.936077
V	42.794322	-73.951289
ER	42.790073	-73.725116
ER	42.694562	-73.80578
K	42.761906	-73.855203
P	42.708409	-73.777368
WT	42.687741	-73.847465
G	42.753641	-73.756946
K	42.683978	-73.782145
ST	42.71026	-73.816537
CC	42.68542	-73.838932
ER	42.743264	-73.902424
ST	42.69357	-73.774506
MF	42.695629	-73.807114
SR	42.731635	-73.706454
ER	42.692191	-73.810663
K	42.791383	-73.916857
ST	42.710517	-73.81576
SR	42.716931	-73.80769
ST	42.783461	-73.919445
ER	42.761943	-73.930978
M	42.78412	-73.918526
K	42.697045	-73.849361
K	42.762339	-73.7483
K	42.714914	-73.830542
ST	42.734887	-73.762754
AS	42.717705	-73.833482
ST	42.698123	-73.822765
R	42.690546	-73.866184
ST	42.684768	-73.792366
SR	42.79121	-73.91582
R	42.680764	-73.763734
K	42.729406	-73.846901
SR	42.733512	-73.850528
SR	42.677273	-73.824546
ER	42.666156	-73.848196
ST	42.737523	-73.797885
ST	42.677392	-73.823052
CC	42.727013	-73.702401
U	42.774507	-73.698016
HH	42.74553	-73.809404
SR	42.746949	-73.759942
K	42.689499	-73.850735
K	42.76182	-73.799216
ST	42.766669	-73.869697
CC	42.688472	-73.775559
V	42.732688	-73.703883
CC	42.761846	-73.749141
K	42.773455	-73.697185
CC	42.686397	-73.841024
M	42.801034	-73.957087
R	42.801845	-73.898933
K	42.804668	-73.903499
WT	42.805115	-73.904697
K	42.717062	-73.810155
K	42.723293	-73.801405
K	42.772231	-73.712511
R	42.782558	-73.893546
R	42.691918	-73.794348
ST	42.784249	-73.908801
G	42.717782	-73.812513
ST	42.707368	-73.825888
K	42.761874	-73.795985
SR	42.779861	-73.743991
M	42.684775	-73.794972
MF	42.73783	-73.70705
ST	42.684132	-73.838906
M	42.784825	-73.943517
ST	42.747033	-73.76054
G	42.735115	-73.700481
K	42.700903	-73.820532
ST	42.803715	-73.90108
CC	42.685406	-73.838953
M	42.692424	-73.8147
SR	42.687002	-73.86017
ST	42.744892	-73.86295
WT	42.704873	-73.824175
SR	42.715725	-73.84105
K	42.714006	-73.812607
ST	42.723219	-73.79987
ER	42.672473	-73.805317
U	42.808133	-73.912762
CC	42.68644	-73.841015
G	42.757553	-73.776091
G	42.756677	-73.756295
V	42.66633	-73.787492
K	42.774923	-73.89736
M	42.710628	-73.820527
ER	42.766761	-73.689367
ST	42.710694	-73.816164
CC	42.804905	-73.916065
SR	42.688293	-73.801118
ER	42.687982	-73.791329
SR	42.724886	-73.706237
R	42.802921	-73.900521
ST	42.711322	-73.814389
K	42.689354	-73.850557
R	42.68966	-73.85085
ER	42.726908	-73.854194
K	42.663011	-73.775809
ST	42.68423	-73.839167
ER	42.689342	-73.848413
ST	42.815938	-73.894059
SR	42.743363	-73.792174
SR	42.754827	-73.876364
WT	42.735958	-73.794101
ER	42.693836	-73.774098
ST	42.690787	-73.852642
ST	42.746029	-73.86385
M	42.81585	-73.893958
ER	42.80519	-73.90645
SR	42.840226	-73.892465
G	42.815921	-73.893426
K	42.770853	-73.824324
ST	42.688007	-73.849271
ST	42.776648	-73.900248
ER	42.724615	-73.841654
WT	42.695911	-73.811738
G	42.744298	-73.864538
SR	42.738553	-73.791609
CC	42.734967	-73.79297
K	42.677335	-73.823188
ST	42.703592	-73.827491
WT	42.756342	-73.770331
K	42.716912	-73.786519
V	42.709954	-73.781226
V	42.752734	-73.779903
SR	42.688475	-73.849247
ER	42.757027	-73.857472
K	42.685901	-73.853824
SR	42.684198	-73.84095
CC	42.759071	-73.777148
CC	42.684736	-73.837723
MF	42.772539	-73.754361
ST	42.689906	-73.851139
AS	42.69007	-73.850404
K	42.684594	-73.795666
CC	42.810806	-73.90279
CC	42.77109	-73.755868
SR	42.690682	-73.778357
K	42.715338	-73.809026
CC	42.827749	-73.892405
MF	42.794876	-73.920789
CC	42.714968	-73.830578
K	42.711565	-73.708361
ER	42.789296	-73.897639
K	42.754187	-73.761219
V	42.720379	-73.84201
M	42.736058	-73.79394
CC	42.753289	-73.777386
ER	42.777331	-73.891839
K	42.717708	-73.81253
SR	42.715322	-73.812965
ST	42.756536	-73.760449
ER	42.677477	-73.827208
K	42.726119	-73.79739
K	42.689707	-73.865857
CC	42.673403	-73.814416
U	42.7683	-73.938149
SR	42.778541	-73.901442
SR	42.680674	-73.837943
G	42.776115	-73.892438
K	42.716785	-73.808502
ST	42.711082	-73.816137
SR	42.794404	-73.91749
ST	42.710862	-73.815902
ER	42.717517	-73.93585
K	42.761899	-73.796193
K	42.77251	-73.823068
CC	42.803778	-73.914423
CC	42.760086	-73.78648
ST	42.754252	-73.876213
V	42.795758	-73.920708
SR	42.7832	-73.907679
V	42.731059	-73.702854
V	42.742196	-73.702924
K	42.713735	-73.706555
ER	42.783046	-73.890645
K	42.803387	-73.901851
K	42.713943	-73.828158
CC	42.712621	-73.873025
G	42.697171	-73.768856
CC	42.77106	-73.755876
R	42.691837	-73.802818
K	42.762591	-73.798683
SR	42.758411	-73.78475
ST	42.686365	-73.854799
ST	42.773878	-73.700869
K	42.711706	-73.709099
M	42.687071	-73.858675
SR	42.714733	-73.830334
ST	42.689187	-73.848986
ST	42.744538	-73.75223
SR	42.740584	-73.784184
CC	42.805885	-73.908307
ER	42.696039	-73.824105
CC	42.725807	-73.936039
G	42.697847	-73.791439
V	42.712919	-73.709449
K	42.73352	-73.762896
V	42.803873	-73.948489
ST	42.790747	-73.915991
V	42.765462	-73.888864
K	42.730225	-73.761767
ST	42.661959	-73.776835
U	42.815903	-73.892182
K	42.710277	-73.816543
V	42.714549	-73.771312
K	42.720549	-73.836883
U	42.721016	-73.803694
SR	42.765013	-73.755729
SR	42.723153	-73.838597
ST	42.776139	-73.891706
ST	42.688477	-73.849262
M	42.736931	-73.844662
ER	42.773248	-73.700727
ST	42.746907	-73.842344
ST	42.782	-73.918161
CC	42.829166	-73.888855
ST	42.774968	-73.701225
ST	42.776643	-73.90026
SR	42.749326	-73.870176
CC	42.814861	-73.891084
ST	42.74006	-73.859739
ER	42.740889	-73.811961
ST	42.692045	-73.831759
K	42.714475	-73.814041
CC	42.829136	-73.888699
CC	42.683628	-73.770981
ST	42.707038	-73.825718
ST	42.739362	-73.736166
V	42.748761	-73.848885
SR	42.79914	-73.939521
CC	42.680979	-73.847101
U	42.771526	-73.893648
K	42.747013	-73.758643
K	42.774231	-73.700929
ST	42.765768	-73.888447
MF	42.706373	-73.826759
K	42.706359	-73.85914
ST	42.7958	-73.922096
R	42.690539	-73.832021
G	42.738711	-73.762782
ER	42.69846	-73.828731
HH	42.788201	-73.912169
ST	42.814731	-73.731807
CC	42.77215	-73.753017
G	42.757817	-73.758049
K	42.729883	-73.847659
M	42.713303	-73.829961
ER	42.696565	-73.885432
K	42.781546	-73.951712
K	42.700442	-73.818163
ST	42.76992	-73.701756
K	42.762111	-73.752493
ST	42.72349	-73.84031
G	42.689831	-73.86614
K	42.792973	-73.93193
K	42.758614	-73.767203
M	42.712712	-73.82788
SR	42.774592	-73.707067
ST	42.781557	-73.746312
V	42.780601	-73.90768
ST	42.695664	-73.82739
CC	42.726893	-73.759777
K	42.727682	-73.761134
ST	42.746927	-73.758166
G	42.735682	-73.76317
ST	42.725432	-73.853535
R	42.715546	-73.804398
ER	42.766351	-73.795947
ST	42.746309	-73.866073
K	42.715956	-73.706158
M	42.773921	-73.892811
SR	42.673497	-73.816308
SR	42.756439	-73.820353
K	42.676518	-73.824085
K	42.676454	-73.82392
SR	42.772754	-73.715815
CC	42.769628	-73.700693
K	42.713352	-73.813801
K	42.756078	-73.77488
SR	42.781362	-73.905998
K	42.685549	-73.796902
CC	42.745073	-73.753813
R	42.78315	-73.891602
ST	42.688054	-73.84819
WT	42.826185	-73.911496
CC	42.695183	-73.878744
R	42.68845	-73.775511
R	42.717253	-73.807692
ST	42.719177	-73.834116
CC	42.692498	-73.774237
SR	42.68292	-73.800354
CC	42.738959	-73.841272
M	42.794051	-73.918936
V	42.797609	-73.91782
AS	42.725134	-73.799959
ER	42.664087	-73.785649
ST	42.79177	-73.915957
K	42.689255	-73.849854
U	42.7578	-73.758038
K	42.710487	-73.816306
K	42.720716	-73.801966
R	42.692382	-73.872367
CC	42.696331	-73.884515
K	42.677338	-73.826424
K	42.783382	-73.94421
ER	42.726867	-73.761864
